subject;chapter;subchapter;question;options;correct_answer
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the ::placeholder pseudo-element target?";""A) The placeholder text in an input field"; "B) The first line of text in an element"; "C) The first letter of a block-level element"; "D) The selected text within an element"";"A) The placeholder text in an input field"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select the first element of its type within a parent element?";""A) :first-of-type"; "B) :last-of-type"; "C) :nth-of-type(1)"; "D) :only-of-type"";"A) :first-of-type"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :nth-of-type pseudo-class allow you to do?";""A) Select elements based on their position in a parent element"; "B) Select the first element of its type"; "C) Select the last element of its type"; "D) Select all elements of a specific type"";"A) Select elements based on their position in a parent element"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element that is the last of its type within a parent element?";""A) :first-of-type"; "B) :last-of-type"; "C) :nth-of-type(1)"; "D) :only-of-type"";"B) :last-of-type"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :lang() pseudo-class target?";""A) Elements with a specific language attribute"; "B) Elements with a specific class"; "C) Elements with a specific ID"; "D) Elements with a specific attribute"";"A) Elements with a specific language attribute"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element when it has focus and is also checked (e.g., a checkbox)?";""A) :focus"; "B) :checked"; "C) :active"; "D) :enabled"";"B) :checked"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :enabled pseudo-class target?";""A) Elements that are currently visible"; "B) Elements with a specific class"; "C) Elements that are in a state to be interacted with (e.g., not disabled)"; "D) Elements with a specific attribute"";"C) Elements that are in a state to be interacted with (e.g., not disabled)"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element that is currently being dragged?";""A) :dragged"; "B) :active"; "C) :focus"; "D) :hover"";"A) :dragged"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :read-only pseudo-class target?";""A) Elements that are currently visible"; "B) Elements that can be edited by the user"; "C) Elements with a specific class"; "D) Elements with a specific attribute"";"B) Elements that can be edited by the user"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element that is being targeted by an anchor link?";""A) :target"; "B) :active"; "C) :focus"; "D) :hover"";"A) :target"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :root pseudo-class target?";""A) The root element of the document (usually <html>)"; "B) The first child element"; "C) The last child element"; "D) The first element with a specific class"";"A) The root element of the document (usually <html>)"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element that is being printed?";""A) :print"; "B) :screen"; "C) :active"; "D) :hover"";"A) :print"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"What does the :fullscreen pseudo-class target?";""A) Elements that are currently visible on full screen"; "B) Elements with a specific class"; "C) Elements that are in a state to be interacted with (e.g., not disabled)"; "D) Elements with a specific attribute"";"A) Elements that are currently visible on full screen"
"CSS";"Advanced CSS Techniques";"Pseudo-classes and Pseudo-elements  :hover, :active, :nth-child, etc. ::before, ::after, ::first-line, etc.";"Which pseudo-class is used to select an element that is not in a state to be interacted with (e.g., disabled)?";""A) :disabled"; "B) :enabled"; "C) :active"; "D) :hover"";"A) :disabled"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"Which CSS property is used to apply a transition to an element?";""A) transition-property"; "B) transition-duration"; "C) transition"; "D) transition-effect"";"C) transition"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"What does the transition-timing-function property control?";""A) The speed curve of the transition"; "B) The duration of the transition"; "C) The type of element to transition"; "D) The color of the transition"";"A) The speed curve of the transition"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"Which value of transition-timing-function will make the transition start slow and end fast?";""A) ease-in"; "B) ease-out"; "C) ease-in-out"; "D) linear"";"B) ease-out"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"In CSS animations, what is a keyframe?";""A) A specific point in time during an animation"; "B) A property that defines animation duration"; "C) A type of timing function"; "D) A method to apply transitions"";"A) A specific point in time during an animation"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"How do you define a keyframe in CSS?";""A) @keyframe"; "B) @animate"; "C) @frame"; "D) @animation"";"A) @keyframe"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"Which property is used to specify the name of an animation?";""A) animation-duration"; "B) animation-name"; "C) animation"; "D) animation-iteration-count"";"B) animation-name"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"How can you make an animation run indefinitely?";""A) Set animation-iteration-count to infinite"; "B) Use animation-duration with a very large value"; "C) Add multiple keyframes with different durations"; "D) Use animation-infinite: true"";"A) Set animation-iteration-count to infinite"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"Which CSS property is used to delay the start of an animation?";""A) animation-delay"; "B) animation-duration"; "C) animation-timing-function"; "D) animation-play-state"";"A) animation-delay"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"How do you create a smooth transition effect on hover?";""A) Use :hover selector along with transition property"; "B) Use :hover selector along with animation property"; "C) Use :hover selector along with keyframe property"; "D) Use :hover selector along with transform property"";"A) Use :hover selector along with transition property"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"What is the purpose of the transition-property property?";""A) It defines the CSS properties to be transitioned"; "B) It sets the duration of the transition"; "C) It controls the timing curve of the transition"; "D) It specifies the element to transition"";"A) It defines the CSS properties to be transitioned"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"Which value of animation-fill-mode will apply the styles defined in the keyframe to the element before the animation starts?";""A) forwards"; "B) backwards"; "C) both"; "D) none"";"B) backwards"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"In CSS animations, what does the animation-iteration-count property control?";""A) The number of times an animation plays"; "B) The speed curve of the animation"; "C) The timing of the animation"; "D) The duration of the animation"";"A) The number of times an animation plays"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"How can you make an element move from left to right using CSS animations?";""A) Define keyframes for both start and end positions"; "B) Use transform: translateX() property"; "C) Set animation-direction to alternate"; "D) Use the left property along with position: absolute"";"A) Define keyframes for both start and end positions"
"CSS";"Advanced CSS Techniques";"Transitions and Animations Adding motion to elements Keyframes and timing functions";"What is the CSS property used to specify the duration of an animation?";""A) animation-duration"; "B) animation-time"; "C) animation-length"; "D) animation-delay"";"A) animation-duration"
